SN	Frequency	Word
703	160	तार
704	160	चूर्ण
705	160	आयोजन
706	159	सांस्कृतिक
707	159	समझने
708	159	वाद्य
709	159	प्रतीक
710	159	तुम्हारा
711	159	छात्र
712	159	चुप
713	158	जायेगी
714	157	रखे
715	157	भार
716	157	फलों
717	157	जीवित
718	157	आजकल
719	156	गिर
720	156	गुरू
721	156	खाद्य
722	156	उतर
723	155	सुना
724	155	स्थानीय
725	155	विषयों
726	155	घंटे
727	155	कराने
728	154	शताब्दी
729	154	व्यवसाय
730	154	मंदिर
731	154	परिचय
732	153	बाँध
733	153	निश्चय
734	153	उपकरण
735	153	आतंकवादियों
736	152	भागों
737	152	अंश
738	151	सूत्र
739	151	बारह
740	151	काट
741	150	वाक्य
742	150	बैठी
743	150	परिस्थितियों
744	149	सूर्य
745	149	शत्रु
746	149	पत्तियों
747	149	नियोजन
748	149	ग्रन्थ
749	149	कही
750	149	उम्र
751	149	अग्नि
752	148	सिख
753	148	बाप
754	148	पाकिस्तान
755	148	आयोजित
756	146	वाद्यों
757	146	मुसलमान
758	146	भेज
759	146	बैंक
760	146	नारी
761	146	अंतिम
762	145	समुद्र
763	145	संग्रह
764	145	लेती
765	145	दृश्य
766	145	खाद
767	145	आलोचना
768	144	हैक्टर
769	144	विरोधी
770	144	पश्चिमी
771	144	धान
772	144	डाक
773	144	कदम
774	144	आकाश
775	143	स्थायी
776	143	वितरण
777	143	वंश
778	143	रोक
779	143	प्रेरणा
780	143	चीनी
781	143	औरत
782	143	अप्रैल
783	143	अनिवार्य
784	142	सकें
785	142	महिला
786	142	पहचान
787	142	क्रमशः
788	141	सैनिक
789	141	वजह
790	141	लकड़ी
791	141	रुपये
792	141	बढ़ा
793	141	पीठ
794	141	पाई
795	141	डाक्टर
796	140	सम्पर्क
797	140	माननीय
798	140	मूल्यांकन
799	140	गाय
800	140	क्षण
801	139	हालत
802	139	संदर्भ
803	139	बीस
804	139	दोष
805	139	जीव
806	139	चित्रित
807	139	खान
808	139	खुशी
809	138	रोजगार
810	138	रिपोर्ट
811	138	मंत्रालय
812	138	प्राथमिक
813	138	प्रदर्शित
814	138	धारणा
815	138	ताल
816	138	जंगल
817	137	सका
818	137	यान
819	137	उपक्रम
820	136	शिव
821	136	त्याग
822	136	जिसने
823	136	गरम
824	135	समाचार
825	135	शाखा
826	135	बुरी
827	135	डाला
828	135	जून
829	135	ज्ञात
830	135	गर्भ
831	135	कर्मचारियों
832	134	मामलों
833	134	तरीके
834	134	आदर्श
835	133	हिस्सा
836	133	संरचना
837	133	स्पर्श
838	133	जनवरी
839	133	चित्रकला
840	133	चरित्र
841	133	क्षेत्रीय
842	133	क्यू
843	132	रखता
844	132	बिक्री
845	132	पुस्तकों
846	132	गले
847	132	खराब
848	132	करो
849	132	कक्षा
850	132	आश्चर्य
851	131	रास्ता
852	131	बनाए
853	131	बेटा
854	131	बेटे
855	131	निम्नलिखित
856	131	चेहरा
857	130	सम्मान
858	130	यथार्थ
859	130	बहू
860	130	ध्वनियों
861	130	जिन्होंने
862	130	छाया
863	130	खबर
864	129	संकट
865	129	बेटी
866	129	पशुओं
867	129	अति
868	128	समझता
869	128	रोकने
870	128	भक्ति
871	128	दशा
872	128	चलती
873	128	घास
874	128	कथन
875	127	सामान
876	127	मजदूरी
877	127	भरी
878	127	दूसरों
879	127	गरीब
880	127	अस्तित्व
881	127	अकेले
882	126	साहसी
883	126	समझते
884	126	विद्युत
885	126	लिखी
886	126	नाटक
887	126	धूप
888	126	दरवाजे
889	126	कमजोर
890	126	आदत
891	125	सम्प्रदाय
892	125	शोध
893	125	वीर
894	125	रुपया
895	125	मौत
896	125	भले
897	125	निजी
898	125	जातियों
899	125	गीतों
900	125	कीट
901	125	उतनी
902	125	अभ्यास
903	124	रंगों
904	124	मान्यता
905	124	मजबूत
906	124	भीड़
907	124	नियमों
908	124	उठता
909	124	आनन्द
910	123	विष
911	123	तमाम
912	123	चिन्ह
913	122	स्थिर
914	122	शराब
915	122	वैज्ञानिकों
916	122	पहुंचा
917	122	गहरी
918	122	ऊष्मा
919	122	उत्तम
920	121	शास्त्र
921	121	मालिक
922	121	भला
923	121	भरे
924	121	बनाई
925	121	गरीबी
926	121	आन्दोलन
927	120	विद्या
928	120	तोड़
929	120	चीजें
930	120	कठोर
931	120	अनुपात
932	119	हरियाणा
933	119	सम्पन्न
934	119	विधान
935	119	राय
936	119	तुरन्त
937	119	आपस
938	119	अधीन
939	118	शिक्षक
940	118	विजय
941	118	लेख
942	118	महोदय
943	118	भी
944	118	फरवरी
945	118	पित्त
946	118	प्रत्यक्ष
947	118	तर्क
948	118	जेल
949	118	चुपचाप
950	118	करा
951	118	अनुकूल
952	117	भूख
953	117	बनता
954	117	बनकर
955	117	बैठकर
956	117	पात्र
957	117	पूर्वी
958	117	कठिनाई
959	116	सदस्यों
960	116	मूत्र
961	116	भरा
962	116	बुरा
963	116	घोषणा
964	116	खोल
965	116	खुश
966	116	खेतों
967	116	कोश
968	116	उपस्थित
969	116	अभिव्यक्ति
970	115	श्रेष्ठ
971	115	नाग
972	115	नाक
973	115	जाता
974	115	छूट
975	115	घरों
976	115	खून
977	115	करेगा
978	115	उतार
979	115	अपराध
980	115	अधिनियम
981	114	साहस
982	114	दिखायी
983	114	दुख
984	114	अगस्त
985	113	साथी
986	113	सक्रिय
987	113	पढ़ने
988	113	पढ़
989	113	चालू
990	113	आधा
991	112	समितियों
992	112	सूची
993	112	विवेचन
994	112	मनोविज्ञान
995	112	पहुंचे
996	112	पुस्तकें
997	112	किशोरी
998	112	इस्पात
999	111	सामना
1000	111	व्याख्या
1001	111	फुट
1002	111	दिमाग
1003	111	कर्मचारी
1004	111	असर
1005	111	अफसर
1006	110	सतह
1007	110	विचित्र
1008	110	बैल
1009	110	केन्द्रों
1010	110	अम्ल
1011	109	संरक्षण
1012	109	सुनने
1013	109	वाणी
1014	109	लोहे
1015	109	यंत्र
1016	109	बोलने
1017	109	बोध
1018	109	प्रकाशन
1019	109	दादा
1020	109	टूट
1021	109	चरक
1022	109	खाते
1023	109	कान
1024	109	आक्रमण
1025	109	अंग्रेजों
1026	108	संभावना
1027	108	यथा
1028	108	भेजा
1029	108	बनाते
1030	108	नरेश
1031	108	दो
1032	108	चोरी
1033	108	चित्रकार
1034	108	कहे
